
prompt,expected_answer,domain_tag
Provide the JPMorgan for investment-banking and trading revenue growth in Q4 2024 as reported by Reuters.,investment-banking fees jumped 49% and trading revenue rose 21% https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,reports
What was the Charles Schwab for leadership change in 2024 and where is it reported?,Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=Jan%2021%20%28Reuters%29%20,in%20premarket%20trading.,HR
What was the JPMorgan for investment-banking and trading revenue growth in Q4 2024 and where is it reported?,investment-banking fees jumped 49% and trading revenue rose 21% https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,reports
"According to reports, did Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower?",No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,risk
What JPMorgan did investment-banking and trading revenue growth in Q4 2024 report?,investment-banking fees jumped 49% and trading revenue rose 21% https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,reports
What was the Bank of America for net income for the fourth quarter of 2024 and where is it reported?,Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,reports
Is it true that Charles Schwab paid a significant fine for a data breach affecting millions of accounts?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,legal
"According to Reuters, what was Charles Schwab's leadership change in 2024?",Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=Jan%2021%20%28Reuters%29%20,in%20premarket%20trading.,HR
What was the Goldman Sachs for investment-banking fees in Q2 2025 and where is it reported?,"investment-banking fees were $2.19 billion, up 26% https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20investment%20banking%20fees%20stood,jump.",reports
What Goldman Sachs did underwriting revenue change in Q4 2024 report?,equity underwriting revenue jumped 98% and debt underwriting revenue rose 51% https://www.reuters.com/business/finance/goldman-sachs-profit-surges-investment-banking-trading-fuel-bumper-quarter-2025-01-15/#:~:text=Equity%20and%20debt%20underwriting%20revenue,placements%20and%20leveraged%20finance%20activity.,reports
"According to Reuters, what was Bank of America's wealth and investment management client balances at the end of 2024?",client balances jumped 12% to a record $4.3 trillion https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%27s%20wealth%20and%20investment%20management,3%20trillion.,reports
Did Goldman Sachs really committed to purchase Apple's credit-card portfolio?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
What was the Goldman Sachs for comment on acquisitions bar and where is it reported?,CEO David Solomon said the bar for acquisitions was high and any deal would need a strategic fit https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Revenue%20from%20Goldman%27s%20asset%20and,in%20equity%20and%20debt%20investments.,news updates
What was the Charles Schwab for total net revenues in Q4 2024 and where is it reported?,"total net revenues were $5.33 billion, up 20% https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=Its%20total%20net%20revenues%20rose,billion%20in%20the%20reported%20quarter.",reports
Reuters reports that Charles Schwab announced a merger with Coinbase in 2025; is this accurate?,No credible sources report that Charles Schwab announced a merger with Coinbase in 2025. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,news updates
"According to Reuters, what was Charles Schwab's adjusted profit per share in Q4 2024?",adjusted profit was $1.01 per share https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20company%20posted%20an%20adjusted,per%20share%20a%20year%20earlier.,reports
Did Goldman Sachs really launched an AI-driven retail bank in 2025?,No credible sources report that Goldman Sachs launched an AI-driven retail bank in 2025. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
"How did Bank of America's wealth and investment management client balances at the end of 2024 change, according to Reuters?",client balances jumped 12% to a record $4.3 trillion https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%27s%20wealth%20and%20investment%20management,3%20trillion.,reports
Reuters reports that JPMorgan faced a $5 billion discrimination lawsuit in 2025; is this accurate?,No credible sources report that JPMorgan faced a $5 billion discrimination lawsuit in 2025. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,legal
"According to Reuters, what was Bank of America's regulatory action related to anti-money-laundering programs in 2024?",a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=A%20U,laundering%20programs.,legal
Has Charles Schwab announced a merger with Coinbase in 2025?,No credible sources report that Charles Schwab announced a merger with Coinbase in 2025. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,news updates
Did Bank of America really launched a program to triple minority representation by 2025?,No credible sources report that Bank of America launched a program to triple minority representation by 2025. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,HR
"According to reports, did Charles Schwab announced a merger with Interactive Brokers in 2025?",No credible sources report that Charles Schwab announced a merger with Interactive Brokers in 2025. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,news updates
What was the Goldman Sachs for workforce size at the end of 2024 and where is it reported?,"Goldman ended 2024 with 46,500 employees, up 3% from a year ago https://www.reuters.com/business/finance/goldman-sachs-profit-surges-investment-banking-trading-fuel-bumper-quarter-2025-01-15/#:~:text=For%202024%2C%20Goldman%20earned%20a,to%20%2453.51%20billion.",HR
What was the Bank of America for net interest income guidance for 2025 and where is it reported?,NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%20expects%20NII%20of%20%2414,7%20billion.,reports
"According to reports, did Charles Schwab announced a merger with Robinhood in 2025?",No credible sources report that Charles Schwab announced a merger with Robinhood in 2025. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,news updates
"How did Bank of America's net interest income in the fourth quarter of 2024 change, according to Reuters?",net interest income rose 3% to $14.4 billion https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%27s%20net%20interest%20income%20,asset%20repricing%20and%20loan%20growth.,reports
Did Charles Schwab really announced a plan to acquire JPMorgan's brokerage operations?,No credible sources report that Charles Schwab announced a plan to acquire JPMorgan's brokerage operations. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,news updates
Reuters reports that Goldman Sachs launched an AI-driven retail bank in 2025; is this accurate?,No credible sources report that Goldman Sachs launched an AI-driven retail bank in 2025. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
"According to reports, did Bank of America launched a program to triple minority representation by 2025?",No credible sources report that Bank of America launched a program to triple minority representation by 2025. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,HR
What was the JPMorgan for net interest income forecast for 2025 and where is it reported?,the net interest income forecast for 2025 was $94 billion https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=The%20bank%20sees%20NII%20of,to%20estimates%20compiled%20by%20LSEG.,reports
Reuters reports that Goldman Sachs committed to purchase Apple's credit-card portfolio; is this accurate?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
